seq,el_1,el_2,el_3
266,1,10266,[10266]
267,1,10267,[10267]
268,1,10268,[10268]
269,1,10269,[10269]
270,1,10270,[10270]
271,1,10271,[10271]
272,1,10272,[10272]
273,1,10273,[10273]
274,1,10274,[10274]
275,1,10275,[10275]
276,1,10276,[10276]
277,1,10277,[10277]
278,1,10278,[10278]
279,1,10279,[10279]
280,1,10280,[10280]
281,1,10281,[10281]
282,1,10282,[10282]
283,1,10283,[10283]
284,1,10284,[10284]
285,1,10285,[10285]
286,1,10286,[10286]
287,1,10287,[10287]
288,1,10288,[10288]
289,1,10289,[10289]
290,1,10290,[10290]
291,1,10291,[10291]
292,1,10292,[10292]
293,1,10293,[10293]
294,1,10294,[10294]
295,1,10295,[10295]
296,1,10296,[10296]
297,1,10297,[10297]
298,1,10298,[10298]
299,1,10299,[10299]
300,1,10300,[10300]
301,1,10301,[10301]
302,1,10302,[10302]
303,1,10303,[10303]
304,1,10304,[10304]
305,1,10305,[10305]
306,1,10306,[10306]
307,1,10307,[10307]
308,1,10308,[10308]
309,1,10309,[10309]
310,1,10310,[10310]
311,1,10311,[10311]
312,1,10312,[10312]
313,1,10313,[10313]
314,1,10314,[10314]
315,1,10315,[10315]
316,1,10316,[10316]
317,1,10317,[10317]
318,1,10318,[10318]
319,1,10319,[10319]
320,1,10320,[10320]
321,1,10321,[10321]
322,1,10322,[10322]
323,1,10323,[10323]
324,1,10324,[10324]
325,1,10325,[10325]
326,1,10326,[10326]
327,1,10327,[10327]
328,1,10328,[10328]
329,1,10329,[10329]
330,1,10330,[10330]
331,1,10331,[10331]
332,1,10332,[10332]
333,1,10333,[10333]
334,1,10334,[10334]
335,1,10335,[10335]
336,1,10336,[10336]
337,1,10337,[10337]
338,1,10338,[10338]
339,1,10339,[10339]
340,1,10340,[10340]
341,1,10341,[10341]
342,1,10342,[10342]
343,1,10343,[10343]
344,1,10344,[10344]
345,1,10345,[10345]
346,1,10346,[10346]
347,1,10347,[10347]
348,1,10348,[10348]
349,1,10349,[10349]
350,1,10350,[10350]
351,1,10351,[10351]
352,1,10352,[10352]
353,1,10353,[10353]
354,1,10354,[10354]
355,1,10355,[10355]
356,1,10356,[10356]
357,1,10357,[10357]
358,1,10358,[10358]
359,1,10359,[10359]
360,1,10360,[10360]
361,1,10361,[10361]
362,1,10362,[10362]
363,1,10363,[10363]
364,1,10364,[10364]
365,1,10365,[10365]
366,1,10366,[10366]
367,1,10367,[10367]
368,1,10368,[10368]
369,1,10369,[10369]
370,1,10370,[10370]
371,1,10371,[10371]
372,1,10372,[10372]
373,1,10373,[10373]
374,1,10374,[10374]
375,1,10375,[10375]
376,1,10376,[10376]
377,1,10377,[10377]
378,1,10378,[10378]
379,1,10379,[10379]
380,1,10380,[10380]
381,1,10381,[10381]
382,1,10382,[10382]
383,1,10383,[10383]
384,1,10384,[10384]
385,1,10385,[10385]
386,1,10386,[10386]
387,1,10387,[10387]
388,1,10388,[10388]
389,1,10389,[10389]
390,1,10390,[10390]
391,1,10391,[10391]
392,1,10392,[10392]
393,1,10393,[10393]
394,1,10394,[10394]
395,1,10395,[10395]
396,1,10396,[10396]
397,1,10397,[10397]
398,1,10398,[10398]
399,1,10399,[10399]
400,1,10400,[10400]
401,1,10401,[10401]
402,1,10402,[10402]
403,1,10403,[10403]
404,1,10404,[10404]
405,1,10405,[10405]
406,1,10406,[10406]
407,1,10407,[10407]
408,1,10408,[10408]
409,1,10409,[10409]
410,1,10410,[10410]
411,1,10411,[10411]
412,1,10412,[10412]
413,1,10413,[10413]
414,1,10414,[10414]
415,1,10415,[10415]
416,1,10416,[10416]
417,1,10417,[10417]
418,1,10418,[10418]
419,1,10419,[10419]
420,1,10420,[10420]
421,1,10421,[10421]
422,1,10422,[10422]
423,1,10423,[10423]
424,1,10424,[10424]
425,1,10425,[10425]
426,1,10426,[10426]
427,1,10427,[10427]
428,1,10428,[10428]
429,1,10429,[10429]
430,1,10430,[10430]
431,1,10431,[10431]
432,1,10432,[10432]
433,1,10433,[10433]
434,1,10434,[10434]
435,1,10435,[10435]
436,1,10436,[10436]
437,1,10437,[10437]
438,1,10438,[10438]
439,1,10439,[10439]
440,1,10440,[10440]
441,1,10441,[10441]
442,1,10442,[10442]
443,1,10443,[10443]
444,1,10444,[10444]
445,1,10445,[10445]
446,1,10446,[10446]
447,1,10447,[10447]
448,1,10448,[10448]
449,1,10449,[10449]
450,1,10450,[10450]
451,1,10451,[10451]
452,1,10452,[10452]
453,1,10453,[10453]
454,1,10454,[10454]
455,1,10455,[10455]
456,1,10456,[10456]
457,1,10457,[10457]
458,1,10458,[10458]
459,1,10459,[10459]
460,1,10460,[10460]
461,1,10461,[10461]
462,1,10462,[10462]
463,1,10463,[10463]
464,1,10464,[10464]
465,1,10465,[10465]
466,1,10466,[10466]
467,1,10467,[10467]
468,1,10468,[10468]
469,1,10469,[10469]
470,1,10470,[10470]
471,1,10471,[10471]
472,1,10472,[10472]
473,1,10473,[10473]
474,1,10474,[10474]
475,1,10475,[10475]
476,1,10476,[10476]
477,1,10477,[10477]
478,1,10478,[10478]
479,1,10479,[10479]
480,1,10480,[10480]
481,1,10481,[10481]
482,1,10482,[10482]
483,1,10483,[10483]
484,1,10484,[10484]
485,1,10485,[10485]
486,1,10486,[10486]
487,1,10487,[10487]
488,1,10488,[10488]
489,1,10489,[10489]
490,1,10490,[10490]
491,1,10491,[10491]
492,1,10492,[10492]
493,1,10493,[10493]
494,1,10494,[10494]
495,1,10495,[10495]
496,1,10496,[10496]
497,1,10497,[10497]
498,1,10498,[10498]
499,1,10499,[10499]
500,1,10500,[10500]
501,1,10501,[10501]
502,1,10502,[10502]
503,1,10503,[10503]
504,1,10504,[10504]
505,1,10505,[10505]
506,1,10506,[10506]
507,1,10507,[10507]
508,1,10508,[10508]
509,1,10509,[10509]
510,1,10510,[10510]
511,1,10511,[10511]
512,1,10512,[10512]
513,1,10513,[10513]
514,1,10514,[10514]
515,1,10515,[10515]
516,1,10516,[10516]
517,1,10517,[10517]
518,1,10518,[10518]
519,1,10519,[10519]
520,1,10520,[10520]
521,1,10521,[10521]
522,1,10522,[10522]
523,1,10523,[10523]
524,1,10524,[10524]
525,1,10525,[10525]
526,1,10526,[10526]
527,1,10527,[10527]
528,1,10528,[10528]
529,1,10529,[10529]
530,1,10530,[10530]
531,1,10531,[10531]
532,1,10532,[10532]
533,1,10533,[10533]
534,1,10534,[10534]
535,1,10535,[10535]
536,1,10536,[10536]
537,1,10537,[10537]
538,1,10538,[10538]
539,1,10539,[10539]
540,1,10540,[10540]
541,1,10541,[10541]
542,1,10542,[10542]
543,1,10543,[10543]
544,1,10544,[10544]
545,1,10545,[10545]
546,1,10546,[10546]
547,1,10547,[10547]
548,1,10548,[10548]
549,1,10549,[10549]
550,1,10550,[10550]
551,1,10551,[10551]
552,1,10552,[10552]
553,1,10553,[10553]
554,1,10554,[10554]
555,1,10555,[10555]
556,1,10556,[10556]
557,1,10557,[10557]
558,1,10558,[10558]
559,1,10559,[10559]
560,1,10560,[10560]
561,1,10561,[10561]
562,1,10562,[10562]
563,1,10563,[10563]
564,1,10564,[10564]
565,1,10565,[10565]
566,1,10566,[10566]
567,1,10567,[10567]
568,1,10568,[10568]
569,1,10569,[10569]
570,1,10570,[10570]
571,1,10571,[10571]
572,1,10572,[10572]
573,1,10573,[10573]
574,1,10574,[10574]
575,1,10575,[10575]
576,1,10576,[10576]
577,1,10577,[10577]
578,1,10578,[10578]
579,1,10579,[10579]
580,1,10580,[10580]
581,1,10581,[10581]
582,1,10582,[10582]
583,1,10583,[10583]
584,1,10584,[10584]
585,1,10585,[10585]
586,1,10586,[10586]
587,1,10587,[10587]
588,1,10588,[10588]
589,1,10589,[10589]
590,1,10590,[10590]
591,1,10591,[10591]
592,1,10592,[10592]
593,1,10593,[10593]
594,1,10594,[10594]
595,1,10595,[10595]
596,1,10596,[10596]
597,1,10597,[10597]
598,1,10598,[10598]
599,1,10599,[10599]
600,1,10600,[10600]
601,1,10601,[10601]
602,1,10602,[10602]
603,1,10603,[10603]
604,1,10604,[10604]
605,1,10605,[10605]
606,1,10606,[10606]
607,1,10607,[10607]
608,1,10608,[10608]
609,1,10609,[10609]
610,1,10610,[10610]
611,1,10611,[10611]
612,1,10612,[10612]
613,1,10613,[10613]
614,1,10614,[10614]
615,1,10615,[10615]
616,1,10616,[10616]
617,1,10617,[10617]
618,1,10618,[10618]
619,1,10619,[10619]
620,1,10620,[10620]
621,1,10621,[10621]
622,1,10622,[10622]
623,1,10623,[10623]
624,1,10624,[10624]
625,1,10625,[10625]
626,1,10626,[10626]
627,1,10627,[10627]
628,1,10628,[10628]
629,1,10629,[10629]
630,1,10630,[10630]
631,1,10631,[10631]
632,1,10632,[10632]
633,1,10633,[10633]
634,1,10634,[10634]
635,1,10635,[10635]
636,1,10636,[10636]
637,1,10637,[10637]
638,1,10638,[10638]
639,1,10639,[10639]
640,1,10640,[10640]
641,1,10641,[10641]
642,1,10642,[10642]
643,1,10643,[10643]
644,1,10644,[10644]
645,1,10645,[10645]
646,1,10646,[10646]
647,1,10647,[10647]
648,1,10648,[10648]
649,1,10649,[10649]
650,1,10650,[10650]
651,1,10651,[10651]
652,1,10652,[10652]
653,1,10653,[10653]
654,1,10654,[10654]
655,1,10655,[10655]
656,1,10656,[10656]
657,1,10657,[10657]
658,1,10658,[10658]
659,1,10659,[10659]
660,1,10660,[10660]
661,1,10661,[10661]
662,1,10662,[10662]
663,1,10663,[10663]
664,1,10664,[10664]
665,1,10665,[10665]
666,1,10666,[10666]
667,1,10667,[10667]
668,1,10668,[10668]
669,1,10669,[10669]
670,1,10670,[10670]
671,1,10671,[10671]
672,1,10672,[10672]
673,1,10673,[10673]
674,1,10674,[10674]
675,1,10675,[10675]
676,1,10676,[10676]
677,1,10677,[10677]
678,1,10678,[10678]
679,1,10679,[10679]
680,1,10680,[10680]
681,1,10681,[10681]
682,1,10682,[10682]
683,1,10683,[10683]
684,1,10684,[10684]
685,1,10685,[10685]
686,1,10686,[10686]
687,1,10687,[10687]
688,1,10688,[10688]
689,1,10689,[10689]
690,1,10690,[10690]
691,1,10691,[10691]
692,1,10692,[10692]
693,1,10693,[10693]
694,1,10694,[10694]
695,1,10695,[10695]
696,1,10696,[10696]
697,1,10697,[10697]
698,1,10698,[10698]
699,1,10699,[10699]
700,1,10700,[10700]
701,1,10701,[10701]
702,1,10702,[10702]
703,1,10703,[10703]
704,1,10704,[10704]
705,1,10705,[10705]
706,1,10706,[10706]
707,1,10707,[10707]
708,1,10708,[10708]
709,1,10709,[10709]
710,1,10710,[10710]
711,1,10711,[10711]
712,1,10712,[10712]
713,1,10713,[10713]
714,1,10714,[10714]
715,1,10715,[10715]
716,1,10716,[10716]
717,1,10717,[10717]
718,1,10718,[10718]
719,1,10719,[10719]
720,1,10720,[10720]
721,1,10721,[10721]
722,1,10722,[10722]
723,1,10723,[10723]
724,1,10724,[10724]
725,1,10725,[10725]
726,1,10726,[10726]
727,1,10727,[10727]
728,1,10728,[10728]
729,1,10729,[10729]
730,1,10730,[10730]
731,1,10731,[10731]
732,1,10732,[10732]
733,1,10733,[10733]
734,1,10734,[10734]
735,1,10735,[10735]
736,1,10736,[10736]
737,1,10737,[10737]
738,1,10738,[10738]
739,1,10739,[10739]
740,1,10740,[10740]
741,1,10741,[10741]
742,1,10742,[10742]
743,1,10743,[10743]
744,1,10744,[10744]
745,1,10745,[10745]
746,1,10746,[10746]
747,1,10747,[10747]
748,1,10748,[10748]
749,1,10749,[10749]
750,1,10750,[10750]
751,1,10751,[10751]
752,1,10752,[10752]
753,1,10753,[10753]
754,1,10754,[10754]
755,1,10755,[10755]
756,1,10756,[10756]
757,1,10757,[10757]
758,1,10758,[10758]
759,1,10759,[10759]
760,1,10760,[10760]
761,1,10761,[10761]
